question_id,question_text,participant_name,answer,created_at
68,"Question de test 9 - Quelle est votre réponse préférée ?",TestUser1,"Option D - Pas bien","2025-09-15 14:24:04"
69,"Question de test 10 - Quelle est votre réponse préférée ?",TestUser1,"Option C - Moyen","2025-09-15 14:24:04"
70,"Question de test 11 - Quelle est votre réponse préférée ?",TestUser1,"Option C - Moyen","2025-09-15 14:24:04"
71,"Question de test 12 - Quelle est votre réponse préférée ?",TestUser1,"Option A - Très bien","2025-09-15 14:24:04"
1,"Considérez-vous les règles comme un sujet tabou ?",TestUser2,1,"2025-09-15 14:24:04"
2,"Au travail, à l’école, en stage ou en sport, qu’est-ce qui vous stresse le plus pendant vos règles ?",TestUser2,0,"2025-09-15 14:24:04"
3,"Avez-vous déjà manqué l’école ou le travail à cause de vos règles ?",TestUser2,1,"2025-09-15 14:24:04"
4,"Combien de jours une femme est-elle menstruée en moyenne au cours de sa vie ?",TestUser2,2000,"2025-09-15 14:24:04"
5,"À combien revient l’achat de protections périodiques jetables pour une femme au cours de sa vie ?",TestUser2,,"2025-09-15 14:24:04"
6,"Qu’est-ce que la précarité menstruelle ?",TestUser2,"Difficulté à se procurer des protections hygiéniques à cause des faibles revenus","2025-09-15 14:24:04"
7,"Une femme perd en moyenne l’équivalent d’1 à 3 cuillères à soupe de sang pendant ses règles",TestUser2,Vrai,"2025-09-15 14:24:04"
8,"Comment savoir si ses règles sont abondantes ?",TestUser2,"Quantité totale > 80 ml par cycle","2025-09-15 14:24:04"
9,"Combien de jours dure en moyenne un cycle menstruel ?",TestUser2,28 jours,"2025-09-15 14:24:04"
10,"Les règles commencent :",TestUser2,"À la fin du cycle","2025-09-15 14:24:04"
11,"Combien y a‑t‑il de phases dans un cycle ?",TestUser2,2,"2025-09-15 14:24:04"
12,"Quels symptômes peuvent accompagner les règles ?",TestUser2,"Crampes abdominales","2025-09-15 14:24:04"
13,"La douleur pendant les règles est-elle normale ?",TestUser2,"Oui, un peu de douleur légère à modérée est normale","2025-09-15 14:24:04"
14,"Le SPM correspond à :",TestUser2,"Une envie irrésistible de sucreries","2025-09-15 14:24:04"
15,"Quand est-il conseillé de consulter un médecin ou un gynécologue ?",TestUser2,"Symptômes de fatigue, pâleur ou essoufflement","2025-09-15 14:24:04"
63,"Question de test 4 - Quelle est votre réponse préférée ?",TestUser2,"Option C - Moyen","2025-09-15 14:24:04"
64,"Question de test 5 - Quelle est votre réponse préférée ?",TestUser2,"Option A - Très bien","2025-09-15 14:24:04"
65,"Question de test 6 - Quelle est votre réponse préférée ?",TestUser2,"Option D - Pas bien","2025-09-15 14:24:04"
66,"Question de test 7 - Quelle est votre réponse préférée ?",TestUser2,"Option D - Pas bien","2025-09-15 14:24:04"
67,"Question de test 8 - Quelle est votre réponse préférée ?",TestUser2,"Option A - Très bien","2025-09-15 14:24:04"
68,"Question de test 9 - Quelle est votre réponse préférée ?",TestUser2,"Option D - Pas bien","2025-09-15 14:24:04"
69,"Question de test 10 - Quelle est votre réponse préférée ?",TestUser2,"Option B - Bien","2025-09-15 14:24:04"
70,"Question de test 11 - Quelle est votre réponse préférée ?",TestUser2,"Option A - Très bien","2025-09-15 14:24:04"
71,"Question de test 12 - Quelle est votre réponse préférée ?",TestUser2,"Option A - Très bien","2025-09-15 14:24:04"
1,"Considérez-vous les règles comme un sujet tabou ?",TestUser3,2,"2025-09-15 14:24:04"
2,"Au travail, à l’école, en stage ou en sport, qu’est-ce qui vous stresse le plus pendant vos règles ?",TestUser3,2,"2025-09-15 14:24:04"
3,"Avez-vous déjà manqué l’école ou le travail à cause de vos règles ?",TestUser3,0,"2025-09-15 14:24:04"
4,"Combien de jours une femme est-elle menstruée en moyenne au cours de sa vie ?",TestUser3,1200,"2025-09-15 14:24:04"
5,"À combien revient l’achat de protections périodiques jetables pour une femme au cours de sa vie ?",TestUser3,1800 €,"2025-09-15 14:24:04"
6,"Qu’est-ce que la précarité menstruelle ?",TestUser3,,"2025-09-15 14:24:04"
7,"Une femme perd en moyenne l’équivalent d’1 à 3 cuillères à soupe de sang pendant ses règles",TestUser3,,"2025-09-15 14:24:04"
8,"Comment savoir si ses règles sont abondantes ?",TestUser3,"Quantité totale > 80 ml par cycle","2025-09-15 14:24:04"
9,"Combien de jours dure en moyenne un cycle menstruel ?",TestUser3,28 jours,"2025-09-15 14:24:04"
10,"Les règles commencent :",TestUser3,"Au début du cycle","2025-09-15 14:24:04"
11,"Combien y a‑t‑il de phases dans un cycle ?",TestUser3,2,"2025-09-15 14:24:04"
12,"Quels symptômes peuvent accompagner les règles ?",TestUser3,Fatigue,"2025-09-15 14:24:04"
13,"La douleur pendant les règles est-elle normale ?",TestUser3,,"2025-09-15 14:24:04"
14,"Le SPM correspond à :",TestUser3,"Un moment où les règles sont plus abondantes","2025-09-15 14:24:04"
15,"Quand est-il conseillé de consulter un médecin ou un gynécologue ?",TestUser3,"Douleurs intenses qui perturbent la vie quotidienne","2025-09-15 14:24:04"
63,"Question de test 4 - Quelle est votre réponse préférée ?",TestUser3,"Option D - Pas bien","2025-09-15 14:24:04"
64,"Question de test 5 - Quelle est votre réponse préférée ?",TestUser3,"Option B - Bien","2025-09-15 14:24:04"
65,"Question de test 6 - Quelle est votre réponse préférée ?",TestUser3,"Option C - Moyen","2025-09-15 14:24:04"
66,"Question de test 7 - Quelle est votre réponse préférée ?",TestUser3,"Option A - Très bien","2025-09-15 14:24:04"
67,"Question de test 8 - Quelle est votre réponse préférée ?",TestUser3,"Option A - Très bien","2025-09-15 14:24:04"
68,"Question de test 9 - Quelle est votre réponse préférée ?",TestUser3,"Option A - Très bien","2025-09-15 14:24:04"
69,"Question de test 10 - Quelle est votre réponse préférée ?",TestUser3,"Option B - Bien","2025-09-15 14:24:04"
70,"Question de test 11 - Quelle est votre réponse préférée ?",TestUser3,"Option D - Pas bien","2025-09-15 14:24:04"
71,"Question de test 12 - Quelle est votre réponse préférée ?",TestUser3,"Option A - Très bien","2025-09-15 14:24:04"
